2017-05-16 14:51:19.779 | AppFinishLaunching
2017-05-16 14:51:19.974 | GET | https://settings.crashlytics.com/spi/v2/platforms/ios/apps/com.usatoday.EnterpriseiPhone20/settings?build_version=4.14.0.87&display_version=4.14.0&instance=d4259080dfc4baf86b2e5717acdf0b788f8bb0a9&icon_hash=199850b2437476872ab0b2552e501eb952210724&source=1
2017-05-16 14:51:20.601 | GET | https://analytics.localytics.com/api/v2/applications/1b5aeb552bc68e6336ed44f-4ae7c46a-d45f-11e6-f43a-0058d526981b/amp
2017-05-16 14:51:20.603 | GET | https://manifest.localytics.com/api/v4/applications/1b5aeb552bc68e6336ed44f-4ae7c46a-d45f-11e6-f43a-0058d526981b
2017-05-16 14:51:21.370 | GET | http://www.gannett-cdn.com/ads/application/7103/config.json?cachebust=516653481.370250
2017-05-16 14:51:21.371 | GET | http://www.gannett-cdn.com/ads/application/7103/config.json?cachebust=516653481.370250
2017-05-16 14:51:21.452 | AppDidBecomeActive
2017-05-16 14:51:21.450 | GET | https://accountsolution.usatoday.com/ios_universal_4p14/config/?externalConfig=true
2017-05-16 14:51:21.451 | GET | https://accountsolution.usatoday.com/ios_universal_4p14/config/?externalConfig=true
2017-05-16 14:51:21.451 | GET | http://www.gannett-cdn.com/mobile/ios/usat/appConfig_4p14.json
2017-05-16 14:51:21.452 | GET | http://www.gannett-cdn.com/mobile/ios/usat/appConfig_4p14.json
2017-05-16 14:51:21.469 | GET | http://www.gannett-cdn.com/mobile/ios/usat/forcedUpdateConfig.json
2017-05-16 14:51:21.470 | GET | http://www.gannett-cdn.com/mobile/ios/usat/forcedUpdateConfig.json
2017-05-16 14:51:21.605 | POST | https://profile.localytics.com/v1/apps/1b5aeb552bc68e6336ed44f-4ae7c46a-d45f-11e6-f43a-0058d526981b/profiles/663FACAF-4A26-4533-8FAA-D95496698F38/{"changes":[{"op":"assign","attr":"Experiment.recirculation_front","value":"section_front"}],"database":"app"}
2017-05-16 14:51:21.609 | POST | https://analytics.localytics.com/api/v2/applications/1b5aeb552bc68e6336ed44f-4ae7c46a-d45f-11e6-f43a-0058d526981b/uploads
2017-05-16 14:51:21.612 | GET | https://sb.scorecardresearch.com/p2?c1=19&c2=6035223&ns_ap_an=USA%20TODAY&ns_ap_pn=ios&ns_ap_pv=10.2.1&c12=8902EA4B110F2A5DCF32F4AD997F2A0B-cs62&ns_ak=none&name=usatoday.MainContainerVC&ns_ap_ec=1&ns_ap_ev=start&ns_ap_device=iPhone7%2C2&ns_ap_id=1494960681497&ns_ap_csf=1&ns_ap_bi=com.usatoday.EnterpriseiPhone20&ns_ap_pfm=ios&ns_ap_pfv=10.2.1&ns_ap_ver=4.14.0.87&ns_ap_sv=3.1605.03&ns_type=view&ns_radio=wifi&ns_nc=1&ns_ap_gs=1494960681434&ns_ap_jb=0&ns_ap_res=320x568&ns_ap_install=1494960681434&ns_ap_lastrun=0&ns_ap_cs=1&ns_ap_runs=1&ns_ap_usage=64&ns_ap_fg=1&ns_ap_ft=18&ns_ap_dft=18&ns_ap_bt=0&ns_ap_dbt=0&ns_ap_dit=45&ns_ap_as=1&ns_ap_das=63&ns_ap_it=45&ns_ap_lang=en-US&ns_ap_ar=arm64v8&ns_ts=1494960681498&ns_ap_i3=&ns_ap_i5=&ns_ap_i9=&ns_ap_i8=&ns_ap_i7=
2017-05-16 14:51:22.382 | GET | http://repdata.usatoday.com/id
2017-05-16 14:51:22.453 | GET | http://gannett.demdex.net/event?c_a_OSVersion=iOS%2010.2.1&c_a_Resolution=640x1136&c_a_CarrierName=Verizon&c_a_InstallDate=5%2F16%2F2017&c_a_ltv_amount=0&c_a_MonthlyEngUserEvent=MonthlyEngUserEvent&c_a_HourOfDay=14&c_a_AppID=usatoday%204.14.0%20%284.14.0.87%29&c_a_DayOfWeek=3&c_a_LaunchEvent=LaunchEvent&c_a_DeviceName=iPhone7%2C2&c_a_Launches=1&c_a_DailyEngUserEvent=DailyEngUserEvent&c_a_InstallEvent=InstallEvent&c_a_locale=en-US&d_dpid=20915&d_dpuuid=DDBDE517-BE03-471A-A78C-3B58FF4C6B53&d_ptfm=ios&d_dst=1&d_rtbd=json
2017-05-16 14:51:22.471 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.13.2/s94453760/ndh=1&t=00%2F00%2F0000%2000%3A00%3A00%200%20240&c.&a.&MonthlyEngUserEvent=MonthlyEngUserEvent&internalaction=Lifecycle&DayOfWeek=3&CarrierName=Verizon&InstallDate=5%2F16%2F2017&HourOfDay=14&InstallEvent=InstallEvent&LaunchEvent=LaunchEvent&OSVersion=iOS%2010.2.1&AppID=usatoday%204.14.0%20%284.14.0.87%29&RunMode=Application&DailyEngUserEvent=DailyEngUserEvent&Launches=1&DeviceName=iPhone7%2C2&Resolution=640x1136&.a&.c&pev2=ADBINTERNAL%3ALifecycle&pageName=usatoday%2F4.14.0.87&ce=UTF-8&aid=2C8DA5150507C9EB-40000113A00084C3&pe=lnk_o
2017-05-16 14:51:24.308 | GET | http://www.gannett-cdn.com/mobile/common/local_properties_config.js
2017-05-16 14:51:24.309 | GET | http://www.gannett-cdn.com/mobile/common/local_properties_config.js
2017-05-16 14:51:24.556 | GET | http://www.gannett-cdn.com/ads/application/creative/DnlHlz/DnlHlz.zip
2017-05-16 14:51:24.556 | GET | http://www.gannett-cdn.com/ads/application/creative/DnlHlz/DnlHlz.zip
2017-05-16 14:51:24.586 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.13.2/s70353152/ndh=1&t=00%2F00%2F0000%2000%3A00%3A00%200%20240&c.&cacheID=DnlHlz&gnt.&client_id=fe81c628-dbdd-480c-b36a-918a5ae60d2c&.gnt&Experiment.&recirculation_front=section_front&.Experiment&a.&action=gravitydownload%7Cstart%7CDnlHlz&OSVersion=iOS%2010.2.1&CarrierName=Verizon&DeviceName=iPhone7%2C2&RunMode=Application&AppID=usatoday%204.14.0%20%284.14.0.87%29&Resolution=640x1136&TimeSinceLaunch=3&.a&.c&pev2=AMACTION%3Agravitydownload%7Cstart%7CDnlHlz&pageName=usatoday%2F4.14.0.87&ce=UTF-8&aid=2C8DA5150507C9EB-40000113A00084C3&pe=lnk_o
2017-05-16 14:51:27.386 | GET | http://www.gannett-cdn.com/ads/application/creative/BZhBo6/BZhBo6.zip
2017-05-16 14:51:27.387 | GET | http://www.gannett-cdn.com/ads/application/creative/BZhBo6/BZhBo6.zip
